timestamp,mode,case,np,run,total_ms,comm_ms,comp_ms,gflops,bytes_per_iter,status
# JOBID=4990116.hpc-head-n1.unitn.it TOTAL_RANKS=128 MODE=weak RUNS=10 L=5 PLIST=1-2-4-8-16-32-64-128 ROWS_PER_RANK=50000 NNZ_PER_ROW=16 SEED=42 XMODE=HALO
20260112_114154,weak,rows50000_nnz16_seed42,64,5,25.977516,18.838024,7.317877,3.941870,1701453.60,OK
20260112_114154,weak,rows50000_nnz16_seed42,64,6,10.941362,3.388262,8.393335,9.358981,1701453.60,OK
20260112_114154,weak,rows50000_nnz16_seed42,64,7,20.080662,11.125088,9.771729,5.099434,1701453.60,OK
20260112_114154,weak,rows50000_nnz16_seed42,64,8,13.419867,6.762457,9.033203,7.630478,1701453.60,OK
20260112_114154,weak,rows50000_nnz16_seed42,64,9,14.121914,6.430960,10.215569,7.251142,1701453.60,OK
20260112_114154,weak,rows50000_nnz16_seed42,64,10,15.578032,4.614782,14.236975,6.573359,1701453.60,OK
20260112_114154,weak,rows50000_nnz16_seed42,128,1,24.644661,19.574594,11.164188,8.310116,1701427.20,OK
20260112_114154,weak,rows50000_nnz16_seed42,128,2,13.500404,4.952192,9.815073,15.169916,1701427.20,OK
20260112_114154,weak,rows50000_nnz16_seed42,128,3,15.340900,8.258438,11.258554,13.349933,1701427.20,OK
20260112_114154,weak,rows50000_nnz16_seed42,128,4,12.333202,3.838730,9.388685,16.605582,1701427.20,OK
20260112_114154,weak,rows50000_nnz16_seed42,128,5,12.684059,4.113817,9.436464,16.146251,1701427.20,OK
20260112_114154,weak,rows50000_nnz16_seed42,128,6,12.925386,6.468248,8.663273,15.844787,1701427.20,OK
20260112_114154,weak,rows50000_nnz16_seed42,128,7,11.651134,3.300762,8.662748,17.577687,1701427.20,OK
20260112_114154,weak,rows50000_nnz16_seed42,128,8,10.867071,3.539038,8.135843,18.845924,1701427.20,OK
20260112_114154,weak,rows50000_nnz16_seed42,128,9,11.721563,3.244209,8.838654,17.472072,1701427.20,OK
20260112_114154,weak,rows50000_nnz16_seed42,128,10,16.593122,7.050943,12.288332,12.342463,1701427.20,OK
