timestamp,mode,case,np,run,time_ms,status
# JOBID=4904689.hpc-head-n1.unitn.it TOTAL_RANKS=128 MODE=weak RUNS=10 L=5 PLIST=1-2-4-8-16-32-64-128 ROWS_PER_RANK=50000 NNZ_PER_ROW=16 SEED=42
20260105_085902,weak,rows50000_nnz16_seed42,1,1,3.805,OK
20260105_085902,weak,rows50000_nnz16_seed42,1,2,3.706,OK
20260105_085902,weak,rows50000_nnz16_seed42,1,3,3.994,OK
20260105_085902,weak,rows50000_nnz16_seed42,1,4,3.797,OK
20260105_085902,weak,rows50000_nnz16_seed42,1,5,4.198,OK
20260105_085902,weak,rows50000_nnz16_seed42,1,6,4.232,OK
20260105_085902,weak,rows50000_nnz16_seed42,1,7,4.344,OK
20260105_085902,weak,rows50000_nnz16_seed42,1,8,4.218,OK
20260105_085902,weak,rows50000_nnz16_seed42,1,9,4.228,OK
20260105_085902,weak,rows50000_nnz16_seed42,1,10,4.164,OK
20260105_085902,weak,rows50000_nnz16_seed42,2,1,5.456,OK
20260105_085902,weak,rows50000_nnz16_seed42,2,2,5.882,OK
20260105_085902,weak,rows50000_nnz16_seed42,2,3,4.994,OK
20260105_085902,weak,rows50000_nnz16_seed42,2,4,6.310,OK
20260105_085902,weak,rows50000_nnz16_seed42,2,5,5.711,OK
20260105_085902,weak,rows50000_nnz16_seed42,2,6,5.543,OK
20260105_085902,weak,rows50000_nnz16_seed42,2,7,6.235,OK
20260105_085902,weak,rows50000_nnz16_seed42,2,8,5.268,OK
20260105_085902,weak,rows50000_nnz16_seed42,2,9,4.924,OK
20260105_085902,weak,rows50000_nnz16_seed42,2,10,5.192,OK
20260105_085902,weak,rows50000_nnz16_seed42,4,1,8.487,OK
20260105_085902,weak,rows50000_nnz16_seed42,4,2,6.529,OK
20260105_085902,weak,rows50000_nnz16_seed42,4,3,7.736,OK
20260105_085902,weak,rows50000_nnz16_seed42,4,4,7.468,OK
20260105_085902,weak,rows50000_nnz16_seed42,4,5,6.633,OK
20260105_085902,weak,rows50000_nnz16_seed42,4,6,8.775,OK
20260105_085902,weak,rows50000_nnz16_seed42,4,7,7.332,OK
20260105_085902,weak,rows50000_nnz16_seed42,4,8,7.288,OK
20260105_085902,weak,rows50000_nnz16_seed42,4,9,9.354,OK
20260105_085902,weak,rows50000_nnz16_seed42,4,10,8.770,OK
20260105_085902,weak,rows50000_nnz16_seed42,8,1,11.467,OK
20260105_085902,weak,rows50000_nnz16_seed42,8,2,7.950,OK
20260105_085902,weak,rows50000_nnz16_seed42,8,3,11.305,OK
20260105_085902,weak,rows50000_nnz16_seed42,8,4,8.388,OK
20260105_085902,weak,rows50000_nnz16_seed42,8,5,12.075,OK
20260105_085902,weak,rows50000_nnz16_seed42,8,6,9.075,OK
20260105_085902,weak,rows50000_nnz16_seed42,8,7,11.392,OK
20260105_085902,weak,rows50000_nnz16_seed42,8,8,9.655,OK
20260105_085902,weak,rows50000_nnz16_seed42,8,9,13.911,OK
20260105_085902,weak,rows50000_nnz16_seed42,8,10,8.502,OK
20260105_085902,weak,rows50000_nnz16_seed42,16,1,20.134,OK
20260105_085902,weak,rows50000_nnz16_seed42,16,2,15.687,OK
20260105_085902,weak,rows50000_nnz16_seed42,16,3,21.449,OK
20260105_085902,weak,rows50000_nnz16_seed42,16,4,41.180,OK
20260105_085902,weak,rows50000_nnz16_seed42,16,5,41.253,OK
