timestamp,mode,case,np,run,total_ms,comm_ms,comp_ms,gflops,bytes_per_iter,status
# JOBID=4946589.hpc-head-n1.unitn.it TOTAL_RANKS=128 MODE=weak RUNS=10 L=5 PLIST=1-2-4-8-16-32-64-128 ROWS_PER_RANK=50000 NNZ_PER_ROW=16 SEED=42 XMODE=AUTO
20260108_091208,weak,rows50000_nnz16_seed42,1,1,0.855589,0.000095,0.855064,1.870057,0.00,OK
20260108_091208,weak,rows50000_nnz16_seed42,1,2,0.855446,0.000000,0.855112,1.870370,0.00,OK
20260108_091208,weak,rows50000_nnz16_seed42,1,3,0.832224,0.000000,0.831795,1.922560,0.00,OK
20260108_091208,weak,rows50000_nnz16_seed42,1,4,0.846672,0.000000,0.846291,1.889752,0.00,OK
20260108_091208,weak,rows50000_nnz16_seed42,1,5,0.899220,0.000048,0.898886,1.779321,0.00,OK
20260108_091208,weak,rows50000_nnz16_seed42,1,6,0.836086,0.000000,0.835657,1.913678,0.00,OK
20260108_091208,weak,rows50000_nnz16_seed42,1,7,0.831509,0.000048,0.831032,1.924213,0.00,OK
20260108_091208,weak,rows50000_nnz16_seed42,1,8,0.893259,0.000048,0.892687,1.791194,0.00,OK
20260108_091208,weak,rows50000_nnz16_seed42,1,9,0.839424,0.000000,0.838995,1.906069,0.00,OK
20260108_091208,weak,rows50000_nnz16_seed42,1,10,1.231623,0.000095,1.231003,1.299099,0.00,OK
20260108_091208,weak,rows50000_nnz16_seed42,2,1,4.180431,0.437737,3.742313,0.765471,879480.80,OK
20260108_091208,weak,rows50000_nnz16_seed42,2,2,4.248857,0.441504,3.807163,0.753144,879480.80,OK
20260108_091208,weak,rows50000_nnz16_seed42,2,3,4.246283,0.453711,3.792381,0.753600,879480.80,OK
20260108_091208,weak,rows50000_nnz16_seed42,2,4,4.239845,0.443316,3.798294,0.754745,879480.80,OK
20260108_091208,weak,rows50000_nnz16_seed42,2,5,4.355764,0.514841,3.840494,0.734659,879480.80,OK
20260108_091208,weak,rows50000_nnz16_seed42,2,6,4.284286,0.445700,3.838158,0.746916,879480.80,OK
20260108_091208,weak,rows50000_nnz16_seed42,2,7,4.229212,0.441790,3.787041,0.756642,879480.80,OK
20260108_091208,weak,rows50000_nnz16_seed42,2,8,5.229807,0.570202,4.659128,0.611877,879480.80,OK
20260108_091208,weak,rows50000_nnz16_seed42,2,9,5.256462,0.618649,4.637384,0.608774,879480.80,OK
20260108_091208,weak,rows50000_nnz16_seed42,2,10,5.184746,0.616741,4.567575,0.617195,879480.80,OK
20260108_091208,weak,rows50000_nnz16_seed42,4,1,6.726599,0.888968,5.840254,0.951447,1600000.00,OK
20260108_091208,weak,rows50000_nnz16_seed42,4,2,7.246637,0.535297,6.713200,0.883168,1600000.00,OK
20260108_091208,weak,rows50000_nnz16_seed42,4,3,7.159996,0.555658,6.613827,0.893855,1600000.00,OK
20260108_091208,weak,rows50000_nnz16_seed42,4,4,7.536030,0.989628,6.672287,0.849254,1600000.00,OK
20260108_091208,weak,rows50000_nnz16_seed42,4,5,5.276632,0.889778,4.406166,1.212895,1600000.00,OK
20260108_091208,weak,rows50000_nnz16_seed42,4,6,7.366943,1.022720,6.368065,0.868746,1600000.00,OK
20260108_091208,weak,rows50000_nnz16_seed42,4,7,7.308149,0.953770,6.405544,0.875735,1600000.00,OK
