timestamp,mode,case,np,run,time_ms,status
# JOBID=4902509.hpc-head-n1.unitn.it TOTAL_RANKS=128 MODE=strong RUNS=5 L=200 PLIST=1-2-4-8-16-32-64-128 MATRIX=mtx/webbase-1M/webbase-1M.mtx
20260102_101143,strong,webbase-1M,1,1,19.495,OK
20260102_101143,strong,webbase-1M,1,2,19.205,OK
20260102_101143,strong,webbase-1M,1,3,19.304,OK
20260102_101143,strong,webbase-1M,1,4,27.221,OK
20260102_101143,strong,webbase-1M,1,5,26.892,OK
20260102_101143,strong,webbase-1M,2,1,15.231,OK
20260102_101143,strong,webbase-1M,2,2,14.117,OK
20260102_101143,strong,webbase-1M,2,3,15.399,OK
20260102_101143,strong,webbase-1M,2,4,11.168,OK
20260102_101143,strong,webbase-1M,2,5,13.868,OK
20260102_101143,strong,webbase-1M,4,1,7.699,OK
20260102_101143,strong,webbase-1M,4,2,6.789,OK
20260102_101143,strong,webbase-1M,4,3,8.619,OK
20260102_101143,strong,webbase-1M,4,4,5.839,OK
20260102_101143,strong,webbase-1M,4,5,5.802,OK
20260102_101143,strong,webbase-1M,8,1,3.242,OK
20260102_101143,strong,webbase-1M,8,2,3.237,OK
20260102_101143,strong,webbase-1M,8,3,3.165,OK
20260102_101143,strong,webbase-1M,8,4,4.755,OK
20260102_101143,strong,webbase-1M,8,5,4.582,OK
20260102_101143,strong,webbase-1M,16,1,5.847,OK
20260102_101143,strong,webbase-1M,16,2,4.082,OK
20260102_101143,strong,webbase-1M,16,3,2.655,OK
20260102_101143,strong,webbase-1M,16,4,2.391,OK
20260102_101143,strong,webbase-1M,16,5,2.689,OK
20260102_101143,strong,webbase-1M,32,1,1.539,OK
20260102_101143,strong,webbase-1M,32,2,2.280,OK
20260102_101143,strong,webbase-1M,32,3,1.551,OK
20260102_101143,strong,webbase-1M,32,4,2.135,OK
20260102_101143,strong,webbase-1M,32,5,2.021,OK
20260102_101143,strong,webbase-1M,64,1,1.139,OK
20260102_101143,strong,webbase-1M,64,2,0.877,OK
20260102_101143,strong,webbase-1M,64,3,0.975,OK
20260102_101143,strong,webbase-1M,64,4,0.818,OK
20260102_101143,strong,webbase-1M,64,5,1.130,OK
20260102_101143,strong,webbase-1M,128,1,2.728,OK
20260102_101143,strong,webbase-1M,128,2,2.362,OK
20260102_101143,strong,webbase-1M,128,3,1.811,OK
20260102_101143,strong,webbase-1M,128,4,2.646,OK
20260102_101143,strong,webbase-1M,128,5,4.229,OK
