timestamp,mode,case,np,run,total_ms,comm_ms,comp_ms,gflops,bytes_per_iter,status
# JOBID=4946570.hpc-head-n1.unitn.it TOTAL_RANKS=128 MODE=strong RUNS=10 L=50 PLIST=1-2-4-8-16-32-64-128 MATRIX=mtx/poisson3Db/poisson3Db.mtx XMODE=AUTO
20260108_091143,strong,poisson3Db,64,3,3.585877,3.524413,0.078869,1.324612,448561.20,OK
20260108_091143,strong,poisson3Db,64,4,4.614520,4.543595,0.093699,1.029337,448561.20,OK
20260108_091143,strong,poisson3Db,64,5,4.084940,4.018946,0.223131,1.162783,448561.20,OK
20260108_091143,strong,poisson3Db,64,6,4.092040,3.994946,0.292554,1.160765,448561.20,OK
20260108_091143,strong,poisson3Db,64,7,4.387689,4.327030,0.114331,1.082551,448561.20,OK
20260108_091143,strong,poisson3Db,64,8,4.072695,4.001923,0.096231,1.166279,448561.20,OK
20260108_091143,strong,poisson3Db,64,9,3.601999,3.531842,0.078230,1.318684,448561.20,OK
20260108_091143,strong,poisson3Db,64,10,3.785625,3.726144,0.079737,1.254720,448561.20,OK
20260108_091143,strong,poisson3Db,128,1,3.528399,3.487501,0.137248,1.346191,252984.80,OK
20260108_091143,strong,poisson3Db,128,2,4.694681,4.659476,0.096884,1.011762,252984.80,OK
20260108_091143,strong,poisson3Db,128,3,4.305277,4.269652,0.057311,1.103274,252984.80,OK
20260108_091143,strong,poisson3Db,128,4,4.822564,4.773631,0.157576,0.984932,252984.80,OK
20260108_091143,strong,poisson3Db,128,5,4.301691,4.262009,0.112195,1.104193,252984.80,OK
20260108_091143,strong,poisson3Db,128,6,5.183129,5.145979,0.132518,0.916415,252984.80,OK
20260108_091143,strong,poisson3Db,128,7,6.461654,6.429510,0.062566,0.735090,252984.80,OK
20260108_091143,strong,poisson3Db,128,8,3.686857,3.654084,0.041084,1.288333,252984.80,OK
20260108_091143,strong,poisson3Db,128,9,7.414808,7.317939,0.160146,0.640596,252984.80,OK
20260108_091143,strong,poisson3Db,128,10,3.682518,3.650804,0.092363,1.289851,252984.80,OK
