timestamp,mode,case,np,run,time_ms,status
# JOBID=4902685.hpc-head-n1.unitn.it TOTAL_RANKS=128 MODE=strong RUNS=10 L=200 PLIST=1-2-4-8-16-32-64-128 MATRIX=mtx/poisson3Db/poisson3Db.mtx
20260102_151707,strong,poisson3Db,1,1,12.476,OK
20260102_151707,strong,poisson3Db,1,2,12.584,OK
20260102_151707,strong,poisson3Db,1,3,12.506,OK
20260102_151707,strong,poisson3Db,1,4,12.609,OK
20260102_151707,strong,poisson3Db,1,5,22.782,OK
20260102_151707,strong,poisson3Db,1,6,13.472,OK
20260102_151707,strong,poisson3Db,1,7,14.196,OK
20260102_151707,strong,poisson3Db,1,8,12.657,OK
20260102_151707,strong,poisson3Db,1,9,12.396,OK
20260102_151707,strong,poisson3Db,1,10,12.602,OK
20260102_151707,strong,poisson3Db,2,1,6.460,OK
20260102_151707,strong,poisson3Db,2,2,6.303,OK
20260102_151707,strong,poisson3Db,2,3,6.295,OK
20260102_151707,strong,poisson3Db,2,4,6.347,OK
20260102_151707,strong,poisson3Db,2,5,7.122,OK
20260102_151707,strong,poisson3Db,2,6,6.619,OK
20260102_151707,strong,poisson3Db,2,7,6.498,OK
20260102_151707,strong,poisson3Db,2,8,6.271,OK
20260102_151707,strong,poisson3Db,2,9,6.211,OK
20260102_151707,strong,poisson3Db,2,10,6.484,OK
20260102_151707,strong,poisson3Db,4,1,3.762,OK
20260102_151707,strong,poisson3Db,4,2,3.603,OK
20260102_151707,strong,poisson3Db,4,3,3.154,OK
20260102_151707,strong,poisson3Db,4,4,3.152,OK
20260102_151707,strong,poisson3Db,4,5,3.179,OK
20260102_151707,strong,poisson3Db,4,6,3.263,OK
20260102_151707,strong,poisson3Db,4,7,3.229,OK
20260102_151707,strong,poisson3Db,4,8,3.376,OK
20260102_151707,strong,poisson3Db,4,9,3.306,OK
20260102_151707,strong,poisson3Db,4,10,3.223,OK
20260102_151707,strong,poisson3Db,8,1,1.688,OK
20260102_151707,strong,poisson3Db,8,2,1.704,OK
20260102_151707,strong,poisson3Db,8,3,1.652,OK
20260102_151707,strong,poisson3Db,8,4,1.748,OK
20260102_151707,strong,poisson3Db,8,5,1.759,OK
20260102_151707,strong,poisson3Db,8,6,1.803,OK
20260102_151707,strong,poisson3Db,8,7,1.774,OK
20260102_151707,strong,poisson3Db,8,8,1.904,OK
20260102_151707,strong,poisson3Db,8,9,1.756,OK
20260102_151707,strong,poisson3Db,8,10,1.784,OK
20260102_151707,strong,poisson3Db,16,1,1.061,OK
20260102_151707,strong,poisson3Db,16,2,1.092,OK
20260102_151707,strong,poisson3Db,16,3,1.081,OK
20260102_151707,strong,poisson3Db,16,4,1.088,OK
20260102_151707,strong,poisson3Db,16,5,1.077,OK
20260102_151707,strong,poisson3Db,16,6,1.100,OK
20260102_151707,strong,poisson3Db,16,7,1.054,OK
20260102_151707,strong,poisson3Db,16,8,1.052,OK
20260102_151707,strong,poisson3Db,16,9,1.079,OK
20260102_151707,strong,poisson3Db,16,10,1.073,OK
20260102_151707,strong,poisson3Db,32,1,0.552,OK
20260102_151707,strong,poisson3Db,32,2,0.637,OK
20260102_151707,strong,poisson3Db,32,3,0.513,OK
20260102_151707,strong,poisson3Db,32,4,0.619,OK
20260102_151707,strong,poisson3Db,32,5,0.544,OK
20260102_151707,strong,poisson3Db,32,6,0.552,OK
20260102_151707,strong,poisson3Db,32,7,0.521,OK
20260102_151707,strong,poisson3Db,32,8,0.555,OK
20260102_151707,strong,poisson3Db,32,9,0.533,OK
20260102_151707,strong,poisson3Db,32,10,0.542,OK
20260102_151707,strong,poisson3Db,64,1,0.275,OK
20260102_151707,strong,poisson3Db,64,2,0.287,OK
20260102_151707,strong,poisson3Db,64,3,0.268,OK
20260102_151707,strong,poisson3Db,64,4,0.274,OK
20260102_151707,strong,poisson3Db,64,5,0.299,OK
20260102_151707,strong,poisson3Db,64,6,0.278,OK
20260102_151707,strong,poisson3Db,64,7,0.297,OK
20260102_151707,strong,poisson3Db,64,8,0.300,OK
20260102_151707,strong,poisson3Db,64,9,0.294,OK
20260102_151707,strong,poisson3Db,64,10,0.283,OK
20260102_151707,strong,poisson3Db,128,1,0.520,OK
20260102_151707,strong,poisson3Db,128,2,1.380,OK
20260102_151707,strong,poisson3Db,128,3,0.379,OK
20260102_151707,strong,poisson3Db,128,4,1.281,OK
20260102_151707,strong,poisson3Db,128,5,0.362,OK
20260102_151707,strong,poisson3Db,128,6,0.989,OK
20260102_151707,strong,poisson3Db,128,7,0.175,OK
20260102_151707,strong,poisson3Db,128,8,0.265,OK
20260102_151707,strong,poisson3Db,128,9,1.708,OK
20260102_151707,strong,poisson3Db,128,10,1.655,OK
