timestamp,mode,case,np,run,time_ms,status
20251230_152837,strong,poisson3Db,1,1,23.993,OK
20251230_152837,strong,poisson3Db,1,2,22.274,OK
20251230_152837,strong,poisson3Db,1,3,23.833,OK
20251230_152837,strong,poisson3Db,1,4,23.720,OK
20251230_152837,strong,poisson3Db,1,5,22.377,OK
20251230_152837,strong,poisson3Db,1,6,24.716,OK
20251230_152837,strong,poisson3Db,1,7,22.969,OK
20251230_152837,strong,poisson3Db,1,8,22.095,OK
20251230_152837,strong,poisson3Db,1,9,24.409,OK
20251230_152837,strong,poisson3Db,1,10,24.083,OK
20251230_152837,strong,poisson3Db,2,1,180.011,OK
20251230_152837,strong,poisson3Db,2,2,178.024,OK
20251230_152837,strong,poisson3Db,2,3,179.335,OK
20251230_152837,strong,poisson3Db,2,4,177.699,OK
20251230_152837,strong,poisson3Db,2,5,177.693,OK
20251230_152837,strong,poisson3Db,2,6,179.314,OK
20251230_152837,strong,poisson3Db,2,7,177.356,OK
20251230_152837,strong,poisson3Db,2,8,180.025,OK
20251230_152837,strong,poisson3Db,2,9,181.632,OK
20251230_152837,strong,poisson3Db,2,10,181.576,OK
20251230_152837,strong,poisson3Db,4,1,127.534,OK
20251230_152837,strong,poisson3Db,4,2,133.462,OK
20251230_152837,strong,poisson3Db,4,3,138.950,OK
20251230_152837,strong,poisson3Db,4,4,131.084,OK
20251230_152837,strong,poisson3Db,4,5,129.298,OK
20251230_152837,strong,poisson3Db,4,6,133.073,OK
20251230_152837,strong,poisson3Db,4,7,130.156,OK
20251230_152837,strong,poisson3Db,4,8,132.469,OK
20251230_152837,strong,poisson3Db,4,9,132.002,OK
20251230_152837,strong,poisson3Db,4,10,131.565,OK
20251230_152837,strong,poisson3Db,8,1,78.203,OK
20251230_152837,strong,poisson3Db,8,2,80.586,OK
20251230_152837,strong,poisson3Db,8,3,79.744,OK
20251230_152837,strong,poisson3Db,8,4,77.685,OK
20251230_152837,strong,poisson3Db,8,5,82.131,OK
20251230_152837,strong,poisson3Db,8,6,80.250,OK
20251230_152837,strong,poisson3Db,8,7,78.608,OK
20251230_152837,strong,poisson3Db,8,8,79.177,OK
20251230_152837,strong,poisson3Db,8,9,79.149,OK
20251230_152837,strong,poisson3Db,8,10,77.357,OK
20251230_152837,strong,poisson3Db,16,1,46.495,OK
20251230_152837,strong,poisson3Db,16,2,46.496,OK
20251230_152837,strong,poisson3Db,16,3,47.242,OK
20251230_152837,strong,poisson3Db,16,4,47.443,OK
20251230_152837,strong,poisson3Db,16,5,45.776,OK
20251230_152837,strong,poisson3Db,16,6,55.781,OK
20251230_152837,strong,poisson3Db,16,7,48.865,OK
20251230_152837,strong,poisson3Db,16,8,48.048,OK
20251230_152837,strong,poisson3Db,16,9,48.112,OK
20251230_152837,strong,poisson3Db,16,10,48.201,OK
20251230_152837,strong,poisson3Db,32,1,26.576,OK
20251230_152837,strong,poisson3Db,32,2,25.291,OK
20251230_152837,strong,poisson3Db,32,3,26.848,OK
20251230_152837,strong,poisson3Db,32,4,26.332,OK
20251230_152837,strong,poisson3Db,32,5,26.811,OK
20251230_152837,strong,poisson3Db,32,6,27.117,OK
20251230_152837,strong,poisson3Db,32,7,26.423,OK
20251230_152837,strong,poisson3Db,32,8,26.703,OK
20251230_152837,strong,poisson3Db,32,9,26.477,OK
20251230_152837,strong,poisson3Db,32,10,26.076,OK
20251230_152837,strong,poisson3Db,64,1,15.062,OK
20251230_152837,strong,poisson3Db,64,2,15.485,OK
20251230_152837,strong,poisson3Db,64,3,15.057,OK
20251230_152837,strong,poisson3Db,64,4,15.263,OK
20251230_152837,strong,poisson3Db,64,5,15.380,OK
20251230_152837,strong,poisson3Db,64,6,16.009,OK
20251230_152837,strong,poisson3Db,64,7,15.589,OK
20251230_152837,strong,poisson3Db,64,8,15.709,OK
20251230_152837,strong,poisson3Db,64,9,16.051,OK
20251230_152837,strong,poisson3Db,64,10,15.764,OK
20251230_152837,strong,poisson3Db,128,1,11.418,OK
20251230_152837,strong,poisson3Db,128,2,11.703,OK
20251230_152837,strong,poisson3Db,128,3,11.514,OK
20251230_152837,strong,poisson3Db,128,4,11.794,OK
20251230_152837,strong,poisson3Db,128,5,11.768,OK
20251230_152837,strong,poisson3Db,128,6,12.722,OK
20251230_152837,strong,poisson3Db,128,7,12.788,OK
20251230_152837,strong,poisson3Db,128,8,12.856,OK
20251230_152837,strong,poisson3Db,128,9,12.160,OK
20251230_152837,strong,poisson3Db,128,10,12.037,OK
