timestamp,mode,case,np,run,time_ms,status
# JOBID=4902509.hpc-head-n1.unitn.it TOTAL_RANKS=128 MODE=strong RUNS=5 L=200 PLIST=1-2-4-8-16-32-64-128 MATRIX=mtx/poisson3Db/poisson3Db.mtx
20260102_101143,strong,poisson3Db,1,1,12.272,OK
20260102_101143,strong,poisson3Db,1,2,12.945,OK
20260102_101143,strong,poisson3Db,1,3,12.972,OK
20260102_101143,strong,poisson3Db,1,4,12.971,OK
20260102_101143,strong,poisson3Db,1,5,13.146,OK
20260102_101143,strong,poisson3Db,2,1,6.450,OK
20260102_101143,strong,poisson3Db,2,2,6.331,OK
20260102_101143,strong,poisson3Db,2,3,6.254,OK
20260102_101143,strong,poisson3Db,2,4,6.149,OK
20260102_101143,strong,poisson3Db,2,5,6.621,OK
20260102_101143,strong,poisson3Db,4,1,3.289,OK
20260102_101143,strong,poisson3Db,4,2,3.157,OK
20260102_101143,strong,poisson3Db,4,3,3.194,OK
20260102_101143,strong,poisson3Db,4,4,3.164,OK
20260102_101143,strong,poisson3Db,4,5,3.181,OK
20260102_101143,strong,poisson3Db,8,1,1.610,OK
20260102_101143,strong,poisson3Db,8,2,1.595,OK
20260102_101143,strong,poisson3Db,8,3,1.637,OK
20260102_101143,strong,poisson3Db,8,4,1.600,OK
20260102_101143,strong,poisson3Db,8,5,1.609,OK
20260102_101143,strong,poisson3Db,16,1,1.070,OK
20260102_101143,strong,poisson3Db,16,2,1.068,OK
20260102_101143,strong,poisson3Db,16,3,0.996,OK
20260102_101143,strong,poisson3Db,16,4,0.985,OK
20260102_101143,strong,poisson3Db,16,5,0.996,OK
20260102_101143,strong,poisson3Db,32,1,0.526,OK
20260102_101143,strong,poisson3Db,32,2,0.506,OK
20260102_101143,strong,poisson3Db,32,3,0.500,OK
20260102_101143,strong,poisson3Db,32,4,0.508,OK
20260102_101143,strong,poisson3Db,32,5,0.550,OK
20260102_101143,strong,poisson3Db,64,1,0.278,OK
20260102_101143,strong,poisson3Db,64,2,0.275,OK
20260102_101143,strong,poisson3Db,64,3,0.263,OK
20260102_101143,strong,poisson3Db,64,4,0.262,OK
20260102_101143,strong,poisson3Db,64,5,0.281,OK
20260102_101143,strong,poisson3Db,128,1,4.324,OK
20260102_101143,strong,poisson3Db,128,2,0.430,OK
20260102_101143,strong,poisson3Db,128,3,0.223,OK
20260102_101143,strong,poisson3Db,128,4,1.898,OK
20260102_101143,strong,poisson3Db,128,5,0.636,OK
