timestamp,mode,case,np,run,time_ms
20251230_123217,strong,poisson3Db,1,1,0.000
20251230_123217,strong,poisson3Db,1,2,0.000
20251230_123217,strong,poisson3Db,1,3,0.000
20251230_123217,strong,poisson3Db,1,4,0.000
20251230_123217,strong,poisson3Db,1,5,0.000
20251230_123217,strong,poisson3Db,2,1,0.000
20251230_123217,strong,poisson3Db,2,2,0.000
20251230_123217,strong,poisson3Db,2,3,0.000
20251230_123217,strong,poisson3Db,2,4,0.000
20251230_123217,strong,poisson3Db,2,5,0.000
20251230_123217,strong,poisson3Db,4,1,0.000
20251230_123217,strong,poisson3Db,4,2,0.000
20251230_123217,strong,poisson3Db,4,3,0.000
20251230_123217,strong,poisson3Db,4,4,0.000
20251230_123217,strong,poisson3Db,4,5,0.000
20251230_123217,strong,poisson3Db,8,1,0.000
20251230_123217,strong,poisson3Db,8,2,0.000
20251230_123217,strong,poisson3Db,8,3,0.000
20251230_123217,strong,poisson3Db,8,4,0.000
20251230_123217,strong,poisson3Db,8,5,0.000
20251230_123217,strong,poisson3Db,16,1,0.000
20251230_123217,strong,poisson3Db,16,2,0.000
20251230_123217,strong,poisson3Db,16,3,0.000
20251230_123217,strong,poisson3Db,16,4,0.000
20251230_123217,strong,poisson3Db,16,5,0.000
20251230_123217,strong,poisson3Db,32,1,0.000
20251230_123217,strong,poisson3Db,32,2,0.000
20251230_123217,strong,poisson3Db,32,3,0.000
20251230_123217,strong,poisson3Db,32,4,0.000
20251230_123217,strong,poisson3Db,32,5,0.000
20251230_123217,strong,poisson3Db,64,1,0.000
20251230_123217,strong,poisson3Db,64,2,0.000
20251230_123217,strong,poisson3Db,64,3,0.000
20251230_123217,strong,poisson3Db,64,4,0.000
20251230_123217,strong,poisson3Db,64,5,0.000
20251230_123217,strong,poisson3Db,128,1,0.000
20251230_123217,strong,poisson3Db,128,2,0.000
20251230_123217,strong,poisson3Db,128,3,0.000
20251230_123217,strong,poisson3Db,128,4,0.000
20251230_123217,strong,poisson3Db,128,5,0.000
