timestamp,mode,case,np,run,time_ms,status
# JOBID=4902685.hpc-head-n1.unitn.it TOTAL_RANKS=128 MODE=strong RUNS=10 L=200 PLIST=1-2-4-8-16-32-64-128 MATRIX=mtx/kron_g500-logn21/kron_g500-logn21.mtx
20260102_151707,strong,kron_g500-logn21,1,1,1054.617,OK
20260102_151707,strong,kron_g500-logn21,1,2,966.774,OK
20260102_151707,strong,kron_g500-logn21,1,3,951.855,OK
20260102_151707,strong,kron_g500-logn21,1,4,1041.276,OK
20260102_151707,strong,kron_g500-logn21,1,5,947.994,OK
20260102_151707,strong,kron_g500-logn21,1,6,987.293,OK
20260102_151707,strong,kron_g500-logn21,1,7,953.486,OK
20260102_151707,strong,kron_g500-logn21,1,8,1030.633,OK
20260102_151707,strong,kron_g500-logn21,1,9,975.800,OK
20260102_151707,strong,kron_g500-logn21,1,10,956.169,OK
20260102_151707,strong,kron_g500-logn21,2,1,498.497,OK
20260102_151707,strong,kron_g500-logn21,2,2,532.038,OK
20260102_151707,strong,kron_g500-logn21,2,3,499.381,OK
20260102_151707,strong,kron_g500-logn21,2,4,503.383,OK
20260102_151707,strong,kron_g500-logn21,2,5,540.930,OK
20260102_151707,strong,kron_g500-logn21,2,6,566.052,OK
20260102_151707,strong,kron_g500-logn21,2,7,854.568,OK
20260102_151707,strong,kron_g500-logn21,2,8,554.266,OK
20260102_151707,strong,kron_g500-logn21,2,9,547.437,OK
20260102_151707,strong,kron_g500-logn21,2,10,487.776,OK
20260102_151707,strong,kron_g500-logn21,4,1,297.798,OK
20260102_151707,strong,kron_g500-logn21,4,2,285.821,OK
20260102_151707,strong,kron_g500-logn21,4,3,297.513,OK
20260102_151707,strong,kron_g500-logn21,4,4,456.148,OK
20260102_151707,strong,kron_g500-logn21,4,5,316.636,OK
20260102_151707,strong,kron_g500-logn21,4,6,447.537,OK
20260102_151707,strong,kron_g500-logn21,4,7,287.474,OK
20260102_151707,strong,kron_g500-logn21,4,8,353.891,OK
20260102_151707,strong,kron_g500-logn21,4,9,343.931,OK
20260102_151707,strong,kron_g500-logn21,4,10,313.177,OK
20260102_151707,strong,kron_g500-logn21,8,1,149.403,OK
20260102_151707,strong,kron_g500-logn21,8,2,168.146,OK
20260102_151707,strong,kron_g500-logn21,8,3,777.945,OK
20260102_151707,strong,kron_g500-logn21,8,4,684.722,OK
20260102_151707,strong,kron_g500-logn21,8,5,215.544,OK
20260102_151707,strong,kron_g500-logn21,8,6,161.904,OK
20260102_151707,strong,kron_g500-logn21,8,7,172.678,OK
20260102_151707,strong,kron_g500-logn21,8,8,207.796,OK
20260102_151707,strong,kron_g500-logn21,8,9,154.789,OK
20260102_151707,strong,kron_g500-logn21,8,10,171.705,OK
20260102_151707,strong,kron_g500-logn21,16,1,398.149,OK
20260102_151707,strong,kron_g500-logn21,16,2,340.792,OK
20260102_151707,strong,kron_g500-logn21,16,3,295.101,OK
20260102_151707,strong,kron_g500-logn21,16,4,78.047,OK
20260102_151707,strong,kron_g500-logn21,16,5,95.551,OK
20260102_151707,strong,kron_g500-logn21,16,6,145.983,OK
20260102_151707,strong,kron_g500-logn21,16,7,97.117,OK
20260102_151707,strong,kron_g500-logn21,16,8,88.508,OK
20260102_151707,strong,kron_g500-logn21,16,9,256.521,OK
20260102_151707,strong,kron_g500-logn21,16,10,319.766,OK
20260102_151707,strong,kron_g500-logn21,32,1,78.812,OK
20260102_151707,strong,kron_g500-logn21,32,2,113.225,OK
20260102_151707,strong,kron_g500-logn21,32,3,83.542,OK
20260102_151707,strong,kron_g500-logn21,32,4,57.164,OK
20260102_151707,strong,kron_g500-logn21,32,5,53.160,OK
20260102_151707,strong,kron_g500-logn21,32,6,54.747,OK
20260102_151707,strong,kron_g500-logn21,32,7,102.675,OK
20260102_151707,strong,kron_g500-logn21,32,8,183.439,OK
20260102_151707,strong,kron_g500-logn21,32,9,238.503,OK
20260102_151707,strong,kron_g500-logn21,32,10,198.887,OK
20260102_151707,strong,kron_g500-logn21,64,1,104.780,OK
20260102_151707,strong,kron_g500-logn21,64,2,112.489,OK
20260102_151707,strong,kron_g500-logn21,64,3,104.905,OK
20260102_151707,strong,kron_g500-logn21,64,4,109.469,OK
20260102_151707,strong,kron_g500-logn21,64,5,99.071,OK
20260102_151707,strong,kron_g500-logn21,64,6,75.729,OK
20260102_151707,strong,kron_g500-logn21,64,7,87.085,OK
20260102_151707,strong,kron_g500-logn21,64,8,104.945,OK
20260102_151707,strong,kron_g500-logn21,64,9,112.330,OK
20260102_151707,strong,kron_g500-logn21,64,10,87.097,OK
20260102_151707,strong,kron_g500-logn21,128,1,58.022,OK
20260102_151707,strong,kron_g500-logn21,128,2,48.291,OK
20260102_151707,strong,kron_g500-logn21,128,3,56.532,OK
20260102_151707,strong,kron_g500-logn21,128,4,49.570,OK
20260102_151707,strong,kron_g500-logn21,128,5,71.611,OK
20260102_151707,strong,kron_g500-logn21,128,6,50.049,OK
20260102_151707,strong,kron_g500-logn21,128,7,54.284,OK
20260102_151707,strong,kron_g500-logn21,128,8,74.733,OK
20260102_151707,strong,kron_g500-logn21,128,9,51.954,OK
20260102_151707,strong,kron_g500-logn21,128,10,50.488,OK
