timestamp,mode,case,np,run,time_ms,status
# JOBID=4904688.hpc-head-n1.unitn.it TOTAL_RANKS=128 MODE=strong RUNS=10 L=200 PLIST=1-2-4-8-16-32-64-128 MATRIX=mtx/FEM_3D_thermal2/FEM_3D_thermal2.mtx
20260105_085836,strong,FEM_3D_thermal2,1,1,15.174,OK
20260105_085836,strong,FEM_3D_thermal2,1,2,15.289,OK
20260105_085836,strong,FEM_3D_thermal2,1,3,16.406,OK
20260105_085836,strong,FEM_3D_thermal2,1,4,16.467,OK
20260105_085836,strong,FEM_3D_thermal2,1,5,16.717,OK
20260105_085836,strong,FEM_3D_thermal2,1,6,14.878,OK
20260105_085836,strong,FEM_3D_thermal2,1,7,15.543,OK
20260105_085836,strong,FEM_3D_thermal2,1,8,16.410,OK
20260105_085836,strong,FEM_3D_thermal2,1,9,15.473,OK
20260105_085836,strong,FEM_3D_thermal2,1,10,15.077,OK
20260105_085836,strong,FEM_3D_thermal2,2,1,7.752,OK
20260105_085836,strong,FEM_3D_thermal2,2,2,7.547,OK
20260105_085836,strong,FEM_3D_thermal2,2,3,7.745,OK
20260105_085836,strong,FEM_3D_thermal2,2,4,8.393,OK
20260105_085836,strong,FEM_3D_thermal2,2,5,8.023,OK
20260105_085836,strong,FEM_3D_thermal2,2,6,7.470,OK
20260105_085836,strong,FEM_3D_thermal2,2,7,9.893,OK
20260105_085836,strong,FEM_3D_thermal2,2,8,8.271,OK
20260105_085836,strong,FEM_3D_thermal2,2,9,7.946,OK
20260105_085836,strong,FEM_3D_thermal2,2,10,7.239,OK
20260105_085836,strong,FEM_3D_thermal2,4,1,4.145,OK
20260105_085836,strong,FEM_3D_thermal2,4,2,4.228,OK
20260105_085836,strong,FEM_3D_thermal2,4,3,4.266,OK
20260105_085836,strong,FEM_3D_thermal2,4,4,4.037,OK
20260105_085836,strong,FEM_3D_thermal2,4,5,4.150,OK
20260105_085836,strong,FEM_3D_thermal2,4,6,4.275,OK
20260105_085836,strong,FEM_3D_thermal2,4,7,4.141,OK
20260105_085836,strong,FEM_3D_thermal2,4,8,4.380,OK
20260105_085836,strong,FEM_3D_thermal2,4,9,4.384,OK
20260105_085836,strong,FEM_3D_thermal2,4,10,4.117,OK
20260105_085836,strong,FEM_3D_thermal2,8,1,1.985,OK
20260105_085836,strong,FEM_3D_thermal2,8,2,2.069,OK
20260105_085836,strong,FEM_3D_thermal2,8,3,2.147,OK
20260105_085836,strong,FEM_3D_thermal2,8,4,2.076,OK
20260105_085836,strong,FEM_3D_thermal2,8,5,2.112,OK
20260105_085836,strong,FEM_3D_thermal2,8,6,2.064,OK
20260105_085836,strong,FEM_3D_thermal2,8,7,2.081,OK
20260105_085836,strong,FEM_3D_thermal2,8,8,2.153,OK
20260105_085836,strong,FEM_3D_thermal2,8,9,2.182,OK
20260105_085836,strong,FEM_3D_thermal2,8,10,2.052,OK
20260105_085836,strong,FEM_3D_thermal2,16,1,1.082,OK
20260105_085836,strong,FEM_3D_thermal2,16,2,1.094,OK
20260105_085836,strong,FEM_3D_thermal2,16,3,1.062,OK
20260105_085836,strong,FEM_3D_thermal2,16,4,1.038,OK
20260105_085836,strong,FEM_3D_thermal2,16,5,1.073,OK
20260105_085836,strong,FEM_3D_thermal2,16,6,1.034,OK
20260105_085836,strong,FEM_3D_thermal2,16,7,1.078,OK
20260105_085836,strong,FEM_3D_thermal2,16,8,1.050,OK
20260105_085836,strong,FEM_3D_thermal2,16,9,1.040,OK
20260105_085836,strong,FEM_3D_thermal2,16,10,1.035,OK
20260105_085836,strong,FEM_3D_thermal2,32,1,0.559,OK
20260105_085836,strong,FEM_3D_thermal2,32,2,0.582,OK
20260105_085836,strong,FEM_3D_thermal2,32,3,0.580,OK
20260105_085836,strong,FEM_3D_thermal2,32,4,0.574,OK
20260105_085836,strong,FEM_3D_thermal2,32,5,0.583,OK
20260105_085836,strong,FEM_3D_thermal2,32,6,0.551,OK
20260105_085836,strong,FEM_3D_thermal2,32,7,0.570,OK
20260105_085836,strong,FEM_3D_thermal2,32,8,0.593,OK
20260105_085836,strong,FEM_3D_thermal2,32,9,0.566,OK
20260105_085836,strong,FEM_3D_thermal2,32,10,0.566,OK
20260105_085836,strong,FEM_3D_thermal2,64,1,0.321,OK
20260105_085836,strong,FEM_3D_thermal2,64,2,0.316,OK
20260105_085836,strong,FEM_3D_thermal2,64,3,0.333,OK
20260105_085836,strong,FEM_3D_thermal2,64,4,0.311,OK
20260105_085836,strong,FEM_3D_thermal2,64,5,0.315,OK
20260105_085836,strong,FEM_3D_thermal2,64,6,0.296,OK
20260105_085836,strong,FEM_3D_thermal2,64,7,0.307,OK
20260105_085836,strong,FEM_3D_thermal2,64,8,0.312,OK
20260105_085836,strong,FEM_3D_thermal2,64,9,0.328,OK
20260105_085836,strong,FEM_3D_thermal2,64,10,0.319,OK
20260105_085836,strong,FEM_3D_thermal2,128,1,0.175,OK
20260105_085836,strong,FEM_3D_thermal2,128,2,0.196,OK
20260105_085836,strong,FEM_3D_thermal2,128,3,0.195,OK
20260105_085836,strong,FEM_3D_thermal2,128,4,0.194,OK
20260105_085836,strong,FEM_3D_thermal2,128,5,0.188,OK
20260105_085836,strong,FEM_3D_thermal2,128,6,0.184,OK
20260105_085836,strong,FEM_3D_thermal2,128,7,0.182,OK
20260105_085836,strong,FEM_3D_thermal2,128,8,0.190,OK
20260105_085836,strong,FEM_3D_thermal2,128,9,0.206,OK
20260105_085836,strong,FEM_3D_thermal2,128,10,0.181,OK
